,CHE 201,MTH 201,MEE 203,MEE 205,CSC 201,EEE 203,EEE 291,MSE 201,gpa
0,32,83,67,76,23,86,33,40,2.772727272727273
1,44,26,85,68,83,50,68,82,3.090909090909091
2,58,53,77,41,36,55,53,37,2.090909090909091
3,83,58,32,79,39,65,49,42,2.6818181818181817
4,69,34,91,46,28,30,79,71,2.1818181818181817
5,41,39,66,75,28,86,38,36,1.8636363636363635
6,77,26,43,27,72,22,51,66,2.1363636363636362
7,44,30,56,66,25,79,45,62,2.272727272727273
8,83,33,69,34,86,84,72,69,3.1818181818181817
9,32,30,67,34,66,37,41,55,1.3636363636363635
10,66,37,47,62,72,91,26,50,3.0454545454545454
11,59,81,86,55,22,59,51,31,2.727272727272727
12,36,68,56,46,23,76,27,74,2.6363636363636362
13,75,83,41,35,90,40,63,28,2.6818181818181817
14,76,63,89,22,79,50,27,43,3.090909090909091
15,64,27,62,32,30,41,28,89,1.7272727272727273
16,43,45,82,39,76,43,42,25,1.8181818181818181
17,75,52,26,64,33,20,79,20,2.0
18,26,74,66,27,74,80,65,49,3.090909090909091
19,70,46,90,90,72,45,20,73,3.8181818181818183
20,73,80,38,64,24,27,53,61,2.8181818181818183
21,61,41,21,55,70,33,80,81,2.727272727272727
22,43,45,21,85,77,59,69,27,2.4545454545454546
23,25,49,60,90,35,23,77,40,1.7727272727272727
24,27,87,37,91,38,24,25,76,2.272727272727273
25,29,56,81,59,22,89,76,53,2.727272727272727
26,90,31,47,72,86,67,51,43,3.0454545454545454
27,76,52,21,83,50,87,89,42,3.3636363636363638
28,49,31,74,29,86,27,31,57,1.8181818181818181
29,20,34,82,67,70,29,23,70,2.3636363636363638
30,60,35,30,86,70,84,41,82,3.3181818181818183
31,55,56,71,62,70,65,40,91,3.909090909090909
32,77,20,89,69,33,87,49,54,2.8636363636363638
33,66,61,82,87,74,61,77,55,4.2727272727272725
34,85,83,42,56,48,33,56,49,2.772727272727273
35,56,91,27,29,48,27,54,59,2.1363636363636362
36,71,22,32,49,25,38,28,59,1.3636363636363635
37,41,63,33,35,44,88,40,51,2.1363636363636362
38,82,20,70,26,43,78,74,36,2.1818181818181817
39,88,41,70,44,51,36,63,30,2.0454545454545454
40,54,44,42,67,22,58,76,75,2.5454545454545454
41,89,53,50,68,59,91,21,29,3.1363636363636362
42,90,87,74,83,39,90,89,26,3.6363636363636362
43,50,40,30,83,76,20,26,84,2.6363636363636362
44,40,21,84,82,33,20,67,43,1.5909090909090908
45,48,71,34,21,73,23,76,72,2.772727272727273
46,25,61,46,24,24,75,30,51,2.0
47,65,89,21,69,53,47,81,85,3.590909090909091
48,43,80,58,53,90,57,82,74,3.727272727272727
49,48,29,62,72,68,39,87,30,2.090909090909091
50,50,45,52,75,73,73,44,82,3.8181818181818183
51,24,42,62,86,36,25,57,50,1.7727272727272727
52,86,85,87,77,35,80,22,53,3.8181818181818183
53,48,29,43,55,86,24,24,76,2.1363636363636362
54,64,23,45,55,55,53,91,62,2.727272727272727
55,62,77,75,32,58,41,75,62,3.227272727272727
56,36,38,50,73,22,21,89,27,1.1818181818181819
57,75,83,52,65,20,67,44,43,3.1363636363636362
58,69,42,26,34,85,91,89,53,2.727272727272727
59,75,71,69,30,43,63,71,30,2.8636363636363638
60,57,74,24,65,37,76,74,36,2.772727272727273
61,57,90,29,61,62,51,87,56,3.4545454545454546
62,26,23,23,38,84,86,81,73,2.272727272727273
63,23,33,77,40,48,51,44,75,2.0
64,43,74,49,50,30,33,62,39,1.8181818181818181
65,78,34,81,36,84,81,37,68,3.0454545454545454
66,45,75,38,28,21,56,36,78,2.272727272727273
67,61,40,34,68,68,86,33,69,3.0454545454545454
68,78,91,34,46,43,85,76,51,3.3181818181818183
69,88,76,88,23,64,89,61,35,3.4545454545454546
70,86,26,28,90,32,45,51,58,2.1818181818181817
71,26,32,77,91,46,44,73,82,2.4545454545454546
72,80,78,44,36,82,59,89,87,3.6818181818181817
73,42,34,27,64,46,88,34,30,1.6363636363636365
74,83,69,24,29,81,65,88,29,2.8636363636363638
75,77,78,64,51,50,24,45,75,3.5454545454545454
76,86,39,85,64,67,33,80,32,2.4545454545454546
77,50,35,68,41,73,71,25,88,2.9545454545454546
78,48,62,45,67,25,61,50,52,2.8181818181818183
79,39,21,38,80,20,28,41,46,1.0
80,44,27,33,74,57,38,37,50,1.6363636363636365
81,51,66,26,47,43,64,89,43,2.4545454545454546
82,73,42,26,43,21,24,75,21,1.2272727272727273
83,32,21,89,41,76,32,91,89,2.1818181818181817
84,84,68,42,76,73,61,89,90,4.318181818181818
85,44,47,72,28,24,73,24,87,2.3181818181818183
86,37,50,83,25,82,43,74,58,2.4545454545454546
87,66,87,29,27,61,89,42,48,3.0
88,69,26,81,50,37,37,88,69,2.1818181818181817
89,36,72,39,74,76,43,74,45,2.909090909090909
90,81,52,23,54,33,81,23,58,2.727272727272727
91,41,58,75,81,89,47,52,24,2.909090909090909
92,35,63,58,62,31,75,76,39,2.4545454545454546
93,30,78,82,72,72,76,35,20,3.409090909090909
94,86,34,37,67,88,21,43,70,2.6363636363636362
95,48,60,84,44,62,73,51,80,3.6363636363636362
96,23,55,84,35,65,91,36,35,2.227272727272727
97,47,66,84,70,54,89,36,24,3.227272727272727
98,83,41,75,66,56,85,23,65,3.5
99,41,33,85,36,64,33,72,58,1.7727272727272727
100,67,53,64,37,40,50,72,48,2.5
101,71,37,73,66,91,57,27,78,3.4545454545454546
102,58,75,86,47,68,62,40,42,3.3181818181818183
103,38,35,81,32,46,53,53,61,1.8181818181818181
104,21,63,39,35,42,58,51,31,1.4090909090909092
105,73,57,43,78,28,21,85,62,2.772727272727273
106,91,78,79,28,40,63,70,72,3.6363636363636362
107,35,20,50,34,45,39,91,28,0.7727272727272727
108,83,80,64,21,84,38,50,28,2.772727272727273
109,45,30,84,71,33,42,73,76,2.4545454545454546
110,69,73,75,50,74,57,84,36,3.6363636363636362
111,62,35,24,41,40,64,35,77,2.0454545454545454
112,22,35,75,39,85,41,31,20,1.2727272727272727
113,54,83,83,81,71,46,48,54,3.909090909090909
114,76,68,64,67,25,55,90,62,3.5
115,32,50,36,48,63,78,24,31,2.0454545454545454
116,90,69,70,23,87,70,65,62,3.9545454545454546
117,40,77,46,43,90,48,57,85,3.1363636363636362
118,63,23,91,44,69,42,46,80,2.590909090909091
119,33,74,55,25,41,55,91,53,2.3636363636363638
120,39,20,90,48,21,76,58,67,2.090909090909091
121,26,32,22,29,36,81,74,74,1.5909090909090908
122,23,34,43,36,43,47,49,23,0.5909090909090909
123,80,65,78,77,26,70,67,53,3.8181818181818183
124,72,72,52,47,40,84,29,72,3.6363636363636362
125,37,50,75,78,69,30,73,87,3.1363636363636362
126,46,28,87,50,63,62,27,55,2.6363636363636362
127,47,62,57,85,36,30,44,69,2.5454545454545454
128,24,51,64,85,59,77,82,33,2.909090909090909
129,69,53,86,46,53,70,36,83,3.590909090909091
130,70,70,74,56,63,65,28,44,3.6818181818181817
131,57,71,35,84,34,50,29,30,2.409090909090909
132,38,21,59,74,36,39,74,71,1.8636363636363635
133,32,67,89,71,32,32,46,63,2.5
134,79,27,41,52,43,76,37,23,2.0
135,51,79,25,91,34,36,59,21,2.1363636363636362
136,42,57,45,54,22,60,87,36,2.0454545454545454
137,58,70,40,70,29,45,73,55,3.0
138,79,57,39,31,43,22,39,46,1.6363636363636365
139,48,79,87,79,51,48,34,24,3.0
140,71,22,49,70,20,22,62,37,1.7272727272727273
141,46,46,81,73,36,24,72,72,2.6818181818181817
142,76,68,43,81,69,36,89,73,3.6363636363636362
143,27,77,24,65,57,62,42,84,3.1363636363636362
144,53,46,39,51,57,90,21,73,2.9545454545454546
145,78,36,68,36,75,39,63,83,2.590909090909091
146,54,72,73,72,73,85,91,28,4.045454545454546
147,35,65,65,67,33,71,48,68,2.9545454545454546
148,86,88,58,30,40,33,73,78,2.909090909090909
149,77,51,84,69,36,66,86,50,3.409090909090909
150,90,39,82,81,82,20,47,76,3.272727272727273
151,53,51,30,72,51,88,46,36,2.8181818181818183
152,39,47,53,77,68,73,43,37,2.590909090909091
153,65,71,90,21,84,70,39,81,3.9545454545454546
154,74,80,40,20,47,50,36,78,3.0454545454545454
155,26,42,50,61,26,36,50,41,1.2727272727272727
156,57,36,45,44,81,26,43,38,1.4545454545454546
157,85,73,56,90,40,40,74,63,3.590909090909091
158,39,68,91,63,68,30,44,87,3.0
159,24,84,32,71,49,36,54,21,2.0
160,26,36,30,23,76,63,56,29,1.3636363636363635
161,25,58,22,36,44,54,78,77,2.0
162,70,54,45,20,43,62,71,65,2.8636363636363638
163,38,70,50,46,42,89,40,90,3.0
164,21,91,42,56,65,58,21,89,3.0454545454545454
165,39,58,71,46,57,53,48,47,2.4545454545454546
166,82,29,68,69,72,81,27,35,2.9545454545454546
167,59,80,90,34,78,22,48,59,2.9545454545454546
168,48,80,45,63,66,63,21,50,3.409090909090909
169,44,23,48,72,83,62,59,81,3.0454545454545454
170,63,87,38,82,66,58,52,84,3.909090909090909
171,44,49,56,21,40,24,38,63,1.4545454545454546
172,50,77,27,24,25,29,59,32,1.4545454545454546
173,64,67,61,36,47,84,40,38,2.6363636363636362
174,71,52,54,55,49,45,89,29,2.6818181818181817
175,24,84,43,74,47,54,41,43,2.5454545454545454
176,70,24,27,74,55,57,32,71,2.8636363636363638
177,48,30,34,22,27,46,67,83,1.4090909090909092
178,35,26,23,27,41,71,83,67,1.5909090909090908
179,79,85,70,47,45,68,34,41,3.272727272727273
180,32,89,40,35,88,86,39,66,2.909090909090909
181,30,66,81,70,52,39,75,42,2.6363636363636362
182,55,27,47,91,72,23,26,49,2.227272727272727
183,70,77,59,79,73,52,57,32,3.772727272727273
184,55,69,48,22,72,37,89,68,2.772727272727273
185,33,20,90,30,88,40,61,52,1.8636363636363635
186,84,85,57,21,30,41,75,73,2.909090909090909
187,73,54,22,30,26,77,78,54,2.5454545454545454
188,32,47,49,88,43,91,42,33,2.090909090909091
189,52,24,83,78,91,70,55,50,3.4545454545454546
190,91,47,24,87,46,43,66,58,2.727272727272727
191,29,82,47,46,63,42,51,38,2.1818181818181817
192,38,78,89,20,69,70,64,63,3.3181818181818183
193,40,77,77,76,41,28,86,31,2.5454545454545454
194,70,21,25,46,86,66,49,29,2.272727272727273
195,70,46,54,87,56,56,37,58,3.227272727272727
196,79,36,72,80,51,41,67,33,2.5454545454545454
197,74,50,22,41,65,76,75,29,2.8181818181818183
198,78,40,75,75,40,86,86,36,3.0454545454545454
199,53,74,37,51,68,57,83,84,3.590909090909091
