,CHE 201,MTH 201,MEE 203,MEE 205,CSC 201,EEE 203,EEE 291,MSE 201,gpa
0,67,39,52,36,79,67,78,70,2.9545454545454546
1,88,45,39,88,84,49,81,81,3.590909090909091
2,78,71,64,64,85,65,43,88,4.454545454545454
3,51,91,70,68,72,33,65,21,3.1818181818181817
4,27,33,24,32,66,64,55,30,1.2272727272727273
5,80,85,78,63,23,79,79,48,3.772727272727273
6,81,70,36,24,88,63,68,20,3.0
7,82,85,83,52,84,82,69,78,4.681818181818182
8,71,22,33,42,31,28,25,44,0.9545454545454546
9,63,48,44,58,84,75,76,76,3.6818181818181817
10,39,76,78,90,34,86,31,48,3.0
11,75,34,89,34,43,65,56,78,2.6363636363636362
12,83,54,54,86,63,20,77,72,3.6363636363636362
13,44,38,63,64,33,49,35,70,2.0
14,84,30,83,56,73,87,90,30,3.1363636363636362
15,61,61,85,80,60,68,44,31,3.5454545454545454
16,45,61,53,86,86,31,46,25,2.727272727272727
17,80,71,29,20,74,71,80,62,3.727272727272727
18,35,65,69,50,30,77,42,27,2.227272727272727
19,72,54,62,74,39,75,35,65,3.5
20,79,65,69,28,34,28,70,69,2.5454545454545454
21,80,55,58,49,42,59,34,51,2.727272727272727
22,91,69,44,65,86,29,21,30,2.727272727272727
23,53,91,28,76,79,61,30,30,3.227272727272727
24,63,49,73,85,21,23,22,90,2.727272727272727
25,79,36,42,75,51,41,28,90,2.6818181818181817
26,77,87,48,31,31,47,68,42,2.3636363636363638
27,84,23,75,37,35,86,33,89,2.5
28,26,56,30,54,36,33,64,60,1.6818181818181819
29,88,89,63,33,22,20,27,42,2.090909090909091
30,37,59,49,66,53,83,84,41,2.727272727272727
31,79,56,71,34,77,43,72,35,2.727272727272727
32,24,38,80,75,42,81,54,43,2.227272727272727
33,21,37,77,83,64,90,20,23,2.3636363636363638
34,80,44,56,24,60,80,66,32,2.5454545454545454
35,80,27,64,88,85,46,38,32,2.6818181818181817
36,51,70,79,67,27,37,86,20,2.5454545454545454
37,61,74,70,22,60,36,57,59,3.0
38,48,85,71,57,50,30,28,23,2.4545454545454546
39,70,84,26,30,83,84,76,71,3.8636363636363638
40,51,67,48,53,60,33,57,43,2.5454545454545454
41,54,43,83,56,60,68,45,25,2.6363636363636362
42,82,23,59,68,40,77,38,51,2.727272727272727
43,73,20,35,60,25,81,48,37,2.0
44,42,88,29,47,33,38,87,56,1.9545454545454546
45,60,88,36,62,60,69,61,30,3.272727272727273
46,58,53,40,24,38,78,24,90,2.409090909090909
47,51,46,49,63,76,44,42,25,2.3636363636363638
48,39,71,75,85,75,33,54,25,2.8636363636363638
49,40,60,33,47,49,21,38,91,2.090909090909091
50,31,69,31,84,71,61,66,72,3.5
51,88,85,40,51,65,90,68,68,4.045454545454546
52,61,29,47,83,35,25,33,64,1.9545454545454546
53,31,56,53,69,52,85,46,65,3.090909090909091
54,22,35,85,22,60,43,25,36,1.1363636363636365
55,22,82,23,51,33,69,29,89,2.5454545454545454
56,84,53,61,83,26,38,52,57,2.8181818181818183
57,41,50,54,47,53,50,40,84,2.772727272727273
58,46,36,73,74,67,37,37,45,2.227272727272727
59,26,46,89,72,81,62,69,21,2.909090909090909
60,26,41,63,29,26,31,83,50,1.1818181818181819
