,CHE 201,MTH 201,MEE 203,MEE 205,CSC 201,EEE 203,EEE 291,MSE 201,gpa
0,46,41,42,77,27,26,37,50,1.6363636363636365
1,76,64,45,39,50,70,20,37,2.6818181818181817
2,32,61,71,66,91,73,30,25,3.090909090909091
3,57,58,35,40,91,81,89,60,3.227272727272727
4,24,67,38,49,48,70,39,62,2.5
5,26,58,52,78,76,55,39,68,3.1363636363636362
6,73,38,50,76,26,87,62,65,3.0454545454545454
7,46,35,71,84,56,85,80,67,3.272727272727273
8,73,89,41,82,51,70,22,26,3.4545454545454546
9,56,64,58,54,84,81,43,45,3.5
10,43,81,73,47,90,72,72,33,3.3636363636363638
11,33,81,67,33,48,50,31,81,2.6363636363636362
12,20,64,82,79,88,79,89,71,4.136363636363637
13,24,60,78,90,80,49,29,62,3.3636363636363638
14,21,75,34,77,28,71,41,45,2.590909090909091
15,42,73,59,77,61,69,61,22,3.272727272727273
16,36,27,58,37,51,63,80,81,2.1363636363636362
17,36,58,81,26,57,71,49,38,2.1818181818181817
18,82,28,86,46,26,37,74,56,2.0454545454545454
19,70,88,37,85,72,48,56,50,3.772727272727273
20,36,72,24,24,49,41,70,28,1.5454545454545454
21,29,41,29,58,75,52,83,29,1.9090909090909092
22,71,22,65,30,39,49,34,73,2.0
23,65,71,59,63,62,84,29,55,3.909090909090909
24,74,76,62,50,59,88,55,58,4.0
25,52,26,25,86,58,53,50,73,2.727272727272727
26,83,68,64,48,38,40,68,89,3.0454545454545454
27,72,54,44,48,57,68,84,65,3.3181818181818183
28,20,54,21,32,63,37,77,24,1.3181818181818181
29,73,38,58,83,65,25,87,28,2.409090909090909
30,31,23,47,83,63,51,41,21,1.8636363636363635
31,61,67,46,50,60,80,44,91,3.8181818181818183
32,52,57,63,26,90,58,37,24,2.409090909090909
33,77,79,89,81,67,77,87,68,4.7272727272727275
34,27,57,77,89,52,33,57,88,2.909090909090909
35,49,84,64,55,55,48,35,70,3.3181818181818183
36,37,52,30,74,22,28,69,36,1.4090909090909092
37,87,23,69,65,21,57,86,76,2.909090909090909
38,64,37,54,86,82,36,24,27,2.1818181818181817
39,86,32,85,73,29,66,87,30,2.590909090909091
40,68,57,79,54,45,49,77,66,3.272727272727273
41,53,87,45,24,29,71,91,54,2.8181818181818183
42,30,48,58,70,65,35,20,56,2.272727272727273
43,73,59,27,31,50,75,52,24,2.4545454545454546
44,39,43,45,20,46,67,28,26,1.1818181818181819
45,25,51,57,51,67,66,27,74,3.0
46,57,66,44,62,63,86,44,90,3.727272727272727
47,59,36,45,30,74,71,68,20,2.1363636363636362
48,76,64,76,25,58,28,39,84,2.9545454545454546
49,79,29,55,80,70,50,49,43,2.9545454545454546
50,68,50,46,81,45,35,50,83,3.0454545454545454
51,63,31,62,75,62,31,34,45,2.409090909090909
52,90,54,26,40,88,73,31,60,3.272727272727273
53,75,69,63,75,81,34,56,85,3.9545454545454546
54,72,32,74,60,61,38,44,76,2.9545454545454546
55,23,57,54,81,78,22,37,84,2.8636363636363638
56,61,56,37,78,66,41,47,53,2.9545454545454546
57,77,61,44,51,75,68,74,50,3.772727272727273
58,54,60,27,91,61,41,29,24,2.5
59,59,86,31,77,38,89,35,74,3.3636363636363638
60,28,48,84,38,64,52,73,25,2.0
61,25,67,40,50,58,73,66,24,2.5
62,71,28,53,55,37,26,81,42,1.7272727272727273
63,58,41,78,23,67,50,89,76,2.909090909090909
64,22,44,37,63,28,50,43,68,1.7272727272727273
65,44,85,53,73,55,40,39,82,3.227272727272727
66,21,46,20,57,56,75,76,28,2.090909090909091
67,41,65,29,48,69,82,71,58,3.0
68,44,53,83,52,83,48,45,82,3.272727272727273
69,22,58,31,54,42,29,79,81,2.0
70,61,77,70,82,88,44,73,73,4.318181818181818
71,32,27,36,31,70,88,43,20,1.4090909090909092
72,72,60,83,58,22,24,83,50,2.909090909090909
73,63,77,53,71,49,79,90,24,3.590909090909091
74,32,58,90,35,82,54,82,32,2.3181818181818183
75,54,46,42,54,47,58,49,82,2.727272727272727
76,33,70,53,21,66,47,53,81,2.8181818181818183
77,57,41,57,65,85,43,42,90,2.9545454545454546
78,20,27,63,85,27,43,42,46,1.5
79,44,50,78,54,21,86,56,25,2.3636363636363638
80,23,53,52,71,58,23,28,79,2.590909090909091
81,73,40,89,74,36,62,36,73,3.227272727272727
82,50,59,88,34,50,56,72,21,2.4545454545454546
83,89,89,73,40,45,26,81,58,3.090909090909091
84,87,89,86,20,54,24,70,22,2.6818181818181817
85,78,78,41,73,29,20,22,29,2.3636363636363638
86,38,77,52,65,81,49,68,67,3.409090909090909
87,79,26,40,61,59,78,69,62,3.1363636363636362
88,91,70,71,25,87,20,31,33,2.727272727272727
89,41,41,70,69,43,50,23,74,2.5454545454545454
90,63,45,42,67,24,40,62,57,2.272727272727273
91,40,73,80,54,86,43,87,24,2.9545454545454546
92,63,47,75,43,75,27,36,72,2.8636363636363638
93,60,86,50,69,41,81,41,86,3.8181818181818183
94,50,27,82,29,61,26,39,68,1.9545454545454546
95,24,29,54,78,87,33,77,39,1.8636363636363635
96,56,47,72,84,83,70,48,79,4.045454545454546
97,84,37,35,72,20,43,33,85,2.1818181818181817
98,73,87,21,89,57,70,60,38,3.5454545454545454
99,69,45,74,71,60,84,27,52,3.6818181818181817
100,76,55,87,30,64,67,49,48,3.1363636363636362
101,59,71,38,73,65,55,80,37,3.1818181818181817
102,53,52,89,27,61,78,52,68,3.3181818181818183
103,74,39,59,72,72,89,65,71,3.8636363636363638
104,53,90,55,80,69,58,63,73,4.090909090909091
105,32,46,65,53,69,52,73,57,2.727272727272727
106,34,52,21,88,49,23,57,25,1.6363636363636365
107,32,86,88,41,55,90,67,77,3.4545454545454546
108,47,34,83,25,43,69,36,41,1.5454545454545454
109,47,29,33,50,83,46,41,62,2.227272727272727
110,79,48,85,74,84,59,58,63,3.9545454545454546
111,49,68,77,48,30,24,50,50,2.272727272727273
112,91,77,60,35,89,62,78,72,4.090909090909091
113,85,26,79,56,77,26,68,64,2.9545454545454546
114,29,78,61,66,70,21,38,45,2.772727272727273
115,74,39,65,48,64,45,45,91,2.909090909090909
116,53,64,30,25,37,22,62,76,2.0
117,88,29,73,57,80,43,82,88,3.272727272727273
118,85,21,86,79,63,34,29,65,2.909090909090909
119,91,50,87,43,52,68,45,77,3.5454545454545454
120,47,78,28,22,23,82,23,37,1.8636363636363635
121,73,59,73,70,44,42,56,40,2.909090909090909
122,48,85,78,45,88,72,70,57,3.909090909090909
123,29,90,50,66,39,68,80,28,2.5
124,71,49,72,26,72,21,82,41,2.5454545454545454
125,31,76,75,51,36,24,41,59,2.227272727272727
126,57,73,71,48,28,59,64,85,3.3181818181818183
127,37,56,62,66,74,23,71,88,3.0454545454545454
128,89,24,24,20,78,67,70,64,2.6818181818181817
129,51,66,85,32,74,20,59,85,3.090909090909091
130,23,89,51,23,65,77,76,79,3.3181818181818183
131,59,55,76,63,41,61,74,57,3.272727272727273
132,79,86,79,91,53,52,66,78,4.409090909090909
133,48,35,20,31,55,79,66,86,2.227272727272727
134,58,65,22,30,20,41,33,73,1.9545454545454546
135,70,57,54,78,74,32,23,37,2.8636363636363638
136,44,54,78,43,56,64,66,51,2.8181818181818183
137,39,58,39,27,41,53,74,27,1.3181818181818181
138,78,62,51,73,43,85,87,61,3.9545454545454546
139,83,22,80,85,25,28,43,81,2.5454545454545454
140,59,32,36,74,70,52,75,48,2.6818181818181817
141,25,87,46,46,85,91,88,20,2.9545454545454546
142,84,81,31,28,46,54,79,80,3.1818181818181817
143,26,46,76,82,52,76,50,67,3.272727272727273
144,82,30,80,69,30,91,81,89,3.272727272727273
145,81,80,40,27,90,55,30,30,2.772727272727273
146,77,46,36,63,69,46,24,41,2.5454545454545454
147,25,47,75,45,59,75,46,72,2.9545454545454546
148,85,35,27,91,85,80,60,75,3.590909090909091
149,29,80,42,55,83,31,70,76,3.0
150,26,67,75,85,79,74,56,41,3.5
151,55,69,33,43,52,88,45,50,2.8636363636363638
152,53,78,37,36,85,38,77,72,2.909090909090909
153,81,56,31,65,58,42,37,85,3.0
154,74,70,82,55,67,82,38,36,3.6818181818181817
155,54,69,29,77,57,62,63,20,2.9545454545454546
156,73,24,67,50,81,57,36,45,2.8181818181818183
157,34,91,33,24,37,46,36,47,1.4545454545454546
158,37,67,34,25,82,51,24,54,2.227272727272727
159,50,34,56,29,61,90,25,64,2.4545454545454546
160,79,64,69,68,68,40,56,69,3.6818181818181817
161,43,74,66,37,38,68,51,41,2.227272727272727
162,84,33,37,75,88,64,54,36,2.727272727272727
163,89,42,46,69,52,46,62,30,2.4545454545454546
164,46,59,76,82,81,40,43,69,3.3636363636363638
165,26,48,37,82,85,55,28,43,2.272727272727273
166,68,67,23,73,72,43,47,66,3.409090909090909
167,78,58,86,47,21,58,41,83,3.090909090909091
168,57,37,37,70,74,74,33,45,2.727272727272727
169,51,54,60,81,68,33,61,78,3.409090909090909
170,23,81,58,72,28,39,21,41,2.0
171,26,31,57,74,78,65,78,52,2.8181818181818183
172,23,72,64,52,43,76,25,24,2.5
173,29,64,50,24,21,53,77,57,2.0454545454545454
174,73,29,73,69,78,36,43,75,3.090909090909091
175,35,58,39,32,27,60,46,31,1.1818181818181819
176,61,35,88,71,31,27,84,40,2.0454545454545454
177,51,43,58,89,66,35,37,68,2.6363636363636362
178,34,27,86,33,53,75,47,84,2.3181818181818183
179,53,45,89,48,49,66,33,30,2.3181818181818183
180,73,33,52,49,39,36,52,89,2.0454545454545454
181,43,82,55,58,80,65,56,49,3.3636363636363638
182,68,62,22,66,64,36,48,80,3.1363636363636362
183,34,34,89,71,68,78,22,55,2.772727272727273
184,89,41,58,58,47,45,87,55,2.727272727272727
185,58,52,69,75,20,77,47,47,3.0454545454545454
186,42,50,38,62,45,55,27,57,2.3181818181818183
187,65,31,48,51,78,67,69,42,2.6818181818181817
188,59,89,50,89,30,32,38,84,2.9545454545454546
189,80,41,36,82,87,42,58,25,2.5
190,74,57,62,63,30,68,40,50,3.1363636363636362
