,CHE 201,MTH 201,MEE 203,MEE 205,CSC 201,EEE 203,EEE 291,MSE 201,gpa
0,89,45,76,64,61,25,76,52,3.227272727272727
1,73,59,21,74,57,40,34,37,2.4545454545454546
2,84,80,48,62,29,28,39,76,3.0
3,43,23,55,89,41,27,72,49,1.7272727272727273
4,52,74,56,22,64,90,68,53,3.409090909090909
5,75,39,47,51,42,60,34,42,2.090909090909091
6,78,54,74,91,21,69,56,39,3.0454545454545454
7,81,23,83,56,61,47,29,31,2.3636363636363638
8,84,64,46,43,87,88,21,60,3.6363636363636362
9,88,70,50,44,33,40,36,76,2.8181818181818183
10,54,87,52,59,74,61,65,89,4.090909090909091
11,21,39,88,37,24,26,73,50,1.0909090909090908
12,67,26,58,80,85,40,85,32,2.5454545454545454
13,25,42,52,85,22,86,75,59,2.4545454545454546
14,78,21,79,40,32,90,86,62,2.727272727272727
15,29,34,41,74,47,70,55,65,2.409090909090909
16,84,35,78,26,47,69,71,50,2.590909090909091
17,24,21,86,79,90,67,69,54,2.9545454545454546
18,84,44,51,22,75,66,74,30,2.590909090909091
19,56,61,51,64,84,51,69,62,3.772727272727273
20,25,91,63,20,52,27,45,89,2.4545454545454546
21,75,81,79,35,72,84,20,23,3.409090909090909
22,88,27,60,79,90,23,48,50,2.909090909090909
23,57,74,58,23,61,77,21,46,3.090909090909091
24,79,28,64,42,34,45,82,29,1.6818181818181819
25,36,30,66,32,72,21,51,52,1.5909090909090908
26,60,51,89,69,47,91,32,70,3.727272727272727
27,52,39,75,36,43,72,46,77,2.4545454545454546
28,85,59,70,56,20,21,59,60,2.772727272727273
29,41,80,67,85,56,48,33,61,3.3181818181818183
30,36,62,65,78,32,85,32,75,3.1363636363636362
31,74,60,65,25,49,84,48,56,3.227272727272727
32,62,41,51,63,49,66,51,34,2.5
33,62,58,26,53,33,83,77,65,2.9545454545454546
34,47,34,74,29,62,66,52,53,2.3636363636363638
35,35,85,21,31,75,35,47,20,1.6818181818181819
36,73,39,42,26,68,48,46,48,1.9545454545454546
37,86,31,43,57,38,40,83,91,2.227272727272727
38,63,66,48,69,25,78,39,91,3.3636363636363638
39,62,84,85,86,91,34,59,71,4.090909090909091
40,30,87,71,88,72,41,80,73,3.772727272727273
41,21,40,22,74,25,78,33,59,1.9545454545454546
42,88,23,60,75,56,25,29,64,2.6818181818181817
43,54,62,43,79,53,88,83,38,3.227272727272727
44,41,47,60,57,85,31,46,26,2.0454545454545454
45,78,61,65,55,73,39,55,22,3.0
46,78,77,57,44,85,84,70,64,4.136363636363637
47,45,91,22,80,76,38,84,76,3.4545454545454546
48,50,78,67,46,75,21,20,56,3.0454545454545454
49,57,58,67,68,49,58,78,35,2.772727272727273
50,70,79,37,78,67,49,64,26,3.272727272727273
51,37,75,82,39,77,63,35,34,2.590909090909091
52,28,70,83,90,75,58,67,35,3.3181818181818183
53,89,57,65,89,25,52,44,42,2.8636363636363638
54,53,21,36,30,76,41,31,33,1.2272727272727273
55,91,82,32,25,85,48,76,22,2.772727272727273
56,90,83,82,47,24,54,65,34,2.909090909090909
57,43,54,20,41,56,57,29,86,2.3181818181818183
58,44,87,67,91,50,67,58,85,3.8636363636363638
59,55,39,58,20,40,23,29,65,1.3636363636363635
60,23,44,25,61,74,42,74,90,2.4545454545454546
61,43,43,47,24,26,60,65,62,1.7727272727272727
62,79,48,40,84,49,33,86,64,2.8636363636363638
63,66,44,68,77,40,71,65,24,2.772727272727273
64,78,22,65,23,69,24,80,78,2.5
65,50,45,21,89,88,75,45,30,2.909090909090909
