,CHE 201,MTH 201,MEE 203,MEE 205,CSC 201,EEE 203,EEE 291,MSE 201,gpa
0,58,38,68,88,55,71,85,47,3.0454545454545454
1,46,31,35,47,62,71,41,69,2.3636363636363638
2,26,23,27,77,88,69,62,51,2.5
3,39,31,58,89,66,44,64,75,2.5
4,42,66,59,76,85,48,29,20,2.772727272727273
5,30,40,84,32,59,84,33,83,2.409090909090909
6,69,54,35,74,60,41,69,61,3.1818181818181817
7,46,50,30,44,76,58,65,49,2.5
8,46,57,47,56,38,48,23,67,2.227272727272727
9,53,41,55,65,49,68,82,35,2.4545454545454546
10,82,56,67,64,20,54,49,61,3.1818181818181817
11,34,57,75,67,75,23,40,33,2.272727272727273
12,83,91,20,59,32,62,86,71,3.4545454545454546
13,71,21,68,41,44,88,76,67,2.772727272727273
14,79,82,71,34,76,86,89,39,3.6363636363636362
15,71,49,33,41,59,63,86,63,2.909090909090909
16,22,36,27,52,45,20,65,77,1.5454545454545454
17,90,82,64,89,69,27,89,65,3.9545454545454546
18,76,88,54,65,36,23,91,60,3.1818181818181817
19,51,41,79,58,77,83,47,35,2.909090909090909
20,35,35,37,69,78,46,67,62,2.227272727272727
21,47,50,89,41,26,40,32,81,2.227272727272727
22,45,79,64,85,69,67,65,30,3.5
23,79,43,57,30,21,90,79,31,2.0454545454545454
24,66,31,63,80,26,72,44,85,3.0
25,79,68,28,88,86,49,79,54,3.6818181818181817
26,35,91,57,76,59,58,81,47,3.1818181818181817
27,41,85,29,40,24,43,55,31,1.4545454545454546
28,25,63,77,62,23,34,27,59,2.1363636363636362
29,85,39,21,30,68,70,44,62,2.5
30,87,87,31,53,24,35,74,39,2.227272727272727
31,67,36,23,87,72,49,28,63,2.727272727272727
32,57,75,57,75,80,90,50,80,4.454545454545454
33,47,34,75,30,23,72,35,90,2.090909090909091
34,47,47,29,37,59,74,39,57,2.1363636363636362
35,80,59,39,20,64,41,33,37,1.9090909090909092
36,87,63,86,31,74,83,40,39,3.272727272727273
37,67,40,57,65,40,47,90,34,2.1818181818181817
38,59,54,51,73,72,37,42,23,2.6363636363636362
39,68,77,34,22,74,36,30,43,2.272727272727273
40,91,76,35,20,47,69,53,68,3.090909090909091
41,47,61,60,36,72,51,82,74,3.3636363636363638
42,60,69,42,69,27,53,42,88,3.0454545454545454
43,54,90,30,74,48,59,67,48,3.1363636363636362
44,76,63,79,53,64,62,22,31,3.3636363636363638
45,44,74,68,34,60,33,35,28,1.9545454545454546
46,30,60,36,39,83,78,68,28,2.272727272727273
47,36,72,44,34,50,79,53,38,2.227272727272727
48,82,42,64,63,28,66,79,69,3.090909090909091
49,90,52,80,56,87,68,49,88,4.090909090909091
50,82,43,85,53,64,63,34,41,2.9545454545454546
51,28,33,24,22,27,50,58,50,0.9545454545454546
52,86,25,23,68,46,25,60,51,2.090909090909091
53,29,45,28,55,38,81,30,49,1.7272727272727273
54,29,85,49,43,66,28,36,90,2.4545454545454546
55,52,23,53,85,60,86,83,24,2.8181818181818183
56,40,35,23,64,29,64,52,87,2.0454545454545454
57,41,46,88,61,33,55,48,27,2.0
58,50,86,53,69,21,36,73,74,3.0454545454545454
59,40,42,89,86,83,78,33,90,3.5
60,36,25,34,56,72,51,73,52,2.1363636363636362
61,81,54,82,30,69,88,21,23,2.909090909090909
62,87,75,79,83,50,70,26,88,4.5
63,61,61,29,51,78,26,23,91,3.0454545454545454
64,91,85,21,38,21,62,47,86,2.909090909090909
65,71,35,54,76,82,52,80,73,3.6363636363636362
66,33,77,89,69,54,29,66,73,3.1818181818181817
67,39,43,27,21,55,42,57,66,1.4090909090909092
68,34,82,75,42,50,63,79,53,3.090909090909091
69,56,57,33,43,36,40,84,27,1.4545454545454546
70,24,81,49,89,34,69,75,42,2.6818181818181817
71,37,85,72,69,35,36,34,42,2.0454545454545454
72,27,27,51,45,61,71,71,68,2.5454545454545454
73,24,53,59,41,91,26,32,36,1.6363636363636365
74,44,55,56,49,20,57,78,52,2.272727272727273
75,90,25,33,46,86,68,48,74,2.9545454545454546
76,35,41,66,85,81,44,68,31,2.227272727272727
77,68,38,59,41,81,35,24,89,2.3181818181818183
78,62,56,70,29,41,51,31,83,2.772727272727273
79,70,27,65,67,80,61,34,22,2.8181818181818183
80,25,46,68,68,44,65,21,88,2.6363636363636362
81,86,22,24,90,68,46,20,76,2.8636363636363638
82,29,85,27,61,79,35,30,27,2.1363636363636362
83,63,83,55,37,87,47,84,62,3.4545454545454546
84,83,56,42,82,84,89,32,61,3.909090909090909
85,22,22,28,86,75,38,21,78,2.0454545454545454
86,56,76,73,41,86,87,79,61,4.045454545454546
87,51,34,63,64,82,66,23,88,3.227272727272727
88,54,69,62,56,50,75,91,55,3.6363636363636362
89,91,75,34,46,45,31,29,49,2.409090909090909
90,64,74,45,51,86,67,36,29,3.272727272727273
91,43,68,45,57,71,87,59,61,3.5
92,78,31,43,90,24,52,54,78,2.6818181818181817
93,60,70,77,81,58,45,78,65,4.045454545454546
94,25,87,60,84,60,44,74,91,3.5454545454545454
95,83,27,45,28,33,91,23,72,2.227272727272727
96,78,45,25,89,27,49,27,66,2.5454545454545454
97,50,65,24,41,51,44,67,88,2.6818181818181817
98,60,90,88,56,73,42,78,91,4.045454545454546
99,66,80,28,82,75,50,72,38,3.4545454545454546
100,31,73,32,80,52,23,78,42,2.3636363636363638
101,24,72,84,41,53,72,69,59,3.1818181818181817
102,66,28,29,49,47,46,80,72,2.272727272727273
103,74,46,30,43,89,56,70,73,3.1818181818181817
104,58,32,43,79,53,78,22,27,2.272727272727273
105,61,76,50,60,55,81,54,21,3.5
106,38,23,76,50,77,68,85,34,2.3181818181818183
107,73,49,59,48,81,65,64,33,3.0
108,31,80,31,55,56,44,69,89,2.727272727272727
109,75,83,58,55,60,46,86,23,3.3181818181818183
110,65,37,71,75,43,50,90,45,2.727272727272727
111,29,73,76,83,52,90,60,86,4.0
112,77,71,66,45,74,64,64,26,3.6363636363636362
113,81,65,30,87,58,65,20,60,3.590909090909091
114,48,81,31,44,51,83,72,72,3.3181818181818183
115,71,32,38,22,61,39,84,90,2.1363636363636362
116,63,22,33,70,87,23,24,60,2.4545454545454546
117,32,85,30,58,85,48,58,29,2.409090909090909
118,67,29,78,49,64,63,54,78,3.1818181818181817
119,70,41,34,88,91,38,28,21,2.227272727272727
120,77,47,61,63,41,88,91,32,3.0
121,58,60,35,86,36,36,72,21,2.0454545454545454
122,24,35,24,50,65,88,89,39,1.8636363636363635
123,24,62,68,32,35,56,60,72,2.3636363636363638
124,64,74,77,82,76,20,26,70,3.9545454545454546
125,57,28,48,42,51,43,20,58,1.6818181818181819
126,53,73,38,37,48,21,66,84,2.4545454545454546
127,61,44,65,75,38,30,27,79,2.4545454545454546
128,34,59,26,27,58,71,74,35,1.8636363636363635
129,20,81,73,32,30,49,33,39,1.6363636363636365
130,54,25,29,21,20,67,35,61,1.5
131,81,34,37,53,62,22,77,51,2.272727272727273
132,43,53,59,65,78,55,37,21,2.590909090909091
133,82,85,52,40,76,74,71,61,4.136363636363637
134,70,33,68,68,58,90,49,66,3.3181818181818183
135,62,52,82,31,38,20,86,75,2.4545454545454546
136,51,85,52,38,78,67,20,26,2.8181818181818183
137,59,50,75,64,71,82,87,26,3.5454545454545454
138,38,91,64,38,86,49,91,40,2.590909090909091
139,33,22,77,81,22,40,56,30,1.4090909090909092
140,58,87,44,59,67,39,40,35,2.409090909090909
141,78,59,61,68,51,33,82,47,3.0454545454545454
142,21,56,65,73,81,83,40,81,3.6818181818181817
143,69,87,33,60,67,53,54,63,3.6363636363636362
144,63,59,42,26,66,60,45,33,2.3636363636363638
145,74,66,75,54,55,68,54,56,3.772727272727273
146,39,53,70,67,81,71,29,84,3.590909090909091
147,88,87,73,49,28,38,73,87,3.227272727272727
148,21,85,44,68,20,83,40,41,2.409090909090909
149,62,51,63,68,86,82,22,54,3.772727272727273
150,25,80,89,30,57,33,41,25,1.8181818181818181
151,27,25,33,65,54,66,53,80,2.3181818181818183
152,80,74,79,61,31,43,85,72,3.6363636363636362
153,38,73,89,74,20,85,51,63,3.409090909090909
154,28,69,74,35,88,29,86,74,2.772727272727273
155,45,48,69,80,72,87,66,60,3.772727272727273
156,44,74,91,41,88,78,24,66,3.5454545454545454
157,49,50,28,71,45,58,68,83,3.0454545454545454
158,75,61,77,64,86,21,78,76,4.0
159,68,38,50,48,82,85,55,87,3.272727272727273
160,85,34,72,56,39,78,29,61,2.772727272727273
161,31,42,81,78,62,88,22,88,3.227272727272727
162,68,37,68,82,32,26,31,26,1.5909090909090908
163,55,47,24,72,20,23,23,45,1.7272727272727273
164,90,47,82,33,53,30,31,53,2.3181818181818183
165,80,80,63,75,54,33,74,25,3.272727272727273
166,24,26,50,25,69,91,69,71,2.3636363636363638
167,56,24,86,86,36,47,35,89,2.5
168,25,22,78,26,60,77,26,20,1.6818181818181819
169,53,56,60,70,26,47,88,83,3.1818181818181817
170,88,44,82,65,87,85,33,87,3.909090909090909
171,40,45,63,64,62,49,68,38,2.409090909090909
172,38,74,33,26,47,60,67,67,2.4545454545454546
173,46,49,65,78,46,87,54,77,3.4545454545454546
174,60,38,44,50,30,47,79,75,2.227272727272727
175,75,79,84,83,55,87,68,75,4.681818181818182
