,CHE 201,MTH 201,MEE 203,MEE 205,CSC 201,EEE 203,EEE 291,MSE 201,gpa
0,51,40,32,33,57,46,62,73,2.1363636363636362
1,33,76,72,78,81,44,86,85,3.772727272727273
2,30,51,72,91,43,49,50,57,2.6363636363636362
3,41,69,82,47,83,69,33,83,3.5
4,59,44,27,85,47,88,74,90,3.1363636363636362
5,53,23,65,90,86,30,28,24,2.1363636363636362
6,38,48,89,22,91,47,58,69,2.4545454545454546
7,35,89,47,63,37,56,81,58,2.6818181818181817
8,72,66,74,37,37,74,52,64,3.227272727272727
9,69,49,71,67,84,42,70,76,3.6363636363636362
10,31,69,75,68,34,30,62,44,2.0454545454545454
11,30,39,68,67,87,23,37,46,1.8636363636363635
12,63,25,39,20,25,62,74,23,1.3181818181818181
13,52,27,43,35,81,23,26,64,1.7272727272727273
14,29,61,40,34,47,41,23,84,1.9090909090909092
15,51,65,84,65,50,45,75,85,3.727272727272727
16,33,77,82,50,69,21,31,26,2.3181818181818183
17,77,76,63,87,69,84,89,68,4.636363636363637
18,86,20,63,48,49,44,84,74,2.6363636363636362
19,56,72,34,65,67,28,86,33,2.6363636363636362
20,81,41,67,89,49,49,56,48,2.8636363636363638
21,91,83,61,30,81,20,32,79,3.3181818181818183
22,65,29,37,86,62,44,58,20,2.0454545454545454
23,53,39,34,74,66,22,45,29,1.7272727272727273
24,91,21,40,27,91,23,81,65,2.227272727272727
25,58,20,45,36,50,87,58,66,2.3636363636363638
26,86,80,44,77,26,29,59,65,3.0454545454545454
27,50,43,83,46,72,27,73,27,2.227272727272727
28,60,79,43,68,42,27,48,50,2.727272727272727
29,44,45,85,53,79,27,77,57,2.6818181818181817
30,25,23,47,50,51,37,63,40,1.3181818181818181
31,51,22,85,86,57,25,57,42,2.227272727272727
32,51,23,29,41,36,56,71,60,1.7272727272727273
33,21,35,81,91,25,44,75,35,1.5
34,28,60,70,24,90,55,78,55,2.909090909090909
35,70,51,76,64,82,35,53,77,3.727272727272727
36,86,68,50,68,27,81,25,34,2.909090909090909
37,65,71,63,46,41,48,84,61,3.272727272727273
38,36,36,50,44,35,57,37,69,1.3636363636363635
39,79,49,54,48,75,39,90,27,2.5
40,29,45,82,88,84,63,64,40,3.0454545454545454
41,52,86,39,88,60,41,82,39,2.909090909090909
42,67,63,52,58,91,72,32,37,3.3181818181818183
43,52,50,87,79,87,47,64,51,3.6363636363636362
44,59,77,45,53,45,55,60,81,3.4545454545454546
45,39,86,52,65,32,63,91,68,3.0454545454545454
46,56,53,40,80,83,41,72,23,2.772727272727273
47,50,69,34,79,60,22,81,61,3.1363636363636362
48,39,63,66,82,48,53,89,41,2.8181818181818183
49,34,40,52,43,90,73,31,41,2.090909090909091
